# Pg [torr], Vb [V], L [m], Miss% [%], Sput% [%], SputY [-]
1.000000000000000062e-09,6.000000000000000000e+02,1.499999999999999944e-01,1.999999999999999825e-04,2.189760000000000062e+01,2.189764379528759131e-01
1.000000000000000062e-09,6.000000000000000000e+02,2.999999999999999889e-01,6.000000000000000559e-04,2.188940000000000197e+01,2.188953133718802291e-01
1.000000000000000062e-09,6.000000000000000000e+02,5.999999999999999778e-01,6.999999999999999929e-04,2.186260000000000048e+01,2.186275303927127378e-01
1.000000000000000062e-09,6.000000000000000000e+02,1.199999999999999956e+00,2.000000000000000042e-03,2.180640000000000001e+01,2.180683613672273480e-01
1.000000000000000062e-09,6.000000000000000000e+02,2.399999999999999911e+00,4.599999999999999922e-03,2.185880000000000223e+01,2.185980555105534739e-01
1.000000000000000062e-09,6.000000000000000000e+02,4.799999999999999822e+00,7.100000000000000408e-03,2.185690000000000310e+01,2.185845195008845609e-01
1.000000000000000062e-09,6.000000000000000000e+02,9.599999999999999645e+00,1.859999999999999848e-02,2.190640000000000143e+01,2.191047534841480404e-01
1.000000000000000062e-09,6.000000000000000000e+02,1.919999999999999929e+01,3.529999999999999805e-02,2.186710000000000065e+01,2.187482181209967069e-01
1.000000000000000062e-09,9.000000000000000000e+02,1.499999999999999944e-01,1.999999999999999825e-04,3.493919999999999959e+01,3.493926987853975819e-01
1.000000000000000062e-09,9.000000000000000000e+02,2.999999999999999889e-01,3.999999999999999650e-04,3.503920000000000101e+01,3.503934015736062668e-01
1.000000000000000062e-09,9.000000000000000000e+02,5.999999999999999778e-01,1.299999999999999940e-03,3.501739999999999498e+01,3.501785523211801698e-01
1.000000000000000062e-09,9.000000000000000000e+02,1.199999999999999956e+00,1.299999999999999940e-03,3.497230000000000416e+01,3.497275464581039439e-01
1.000000000000000062e-09,9.000000000000000000e+02,2.399999999999999911e+00,4.300000000000000003e-03,3.499630000000000507e+01,3.499780490561094082e-01
1.000000000000000062e-09,9.000000000000000000e+02,4.799999999999999822e+00,1.030000000000000013e-02,3.495739999999999981e+01,3.496100098310125914e-01
1.000000000000000062e-09,9.000000000000000000e+02,9.599999999999999645e+00,1.650000000000000078e-02,3.500349999999999540e+01,3.500927653062755329e-01
1.000000000000000062e-09,9.000000000000000000e+02,1.919999999999999929e+01,3.400000000000000244e-02,3.498470000000000368e+01,3.499659884360682427e-01
1.000000000000000062e-09,1.200000000000000000e+03,1.499999999999999944e-01,3.000000000000000279e-04,4.888709999999999667e+01,4.888724666173998590e-01
1.000000000000000062e-09,1.200000000000000000e+03,2.999999999999999889e-01,5.000000000000000104e-04,4.887119999999999465e+01,4.887144435722178826e-01
1.000000000000000062e-09,1.200000000000000000e+03,5.999999999999999778e-01,1.100000000000000066e-03,4.889910000000000423e+01,4.889963789601685651e-01
1.000000000000000062e-09,1.200000000000000000e+03,1.199999999999999956e+00,1.799999999999999951e-03,4.890120000000000289e+01,4.890208023744427313e-01
1.000000000000000062e-09,1.200000000000000000e+03,2.399999999999999911e+00,3.100000000000000325e-03,4.886240000000000094e+01,4.886391478135821975e-01
1.000000000000000062e-09,1.200000000000000000e+03,4.799999999999999822e+00,7.100000000000000408e-03,4.880090000000000572e+01,4.880436510992280374e-01
